file,tags,tertiary
528.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
529.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
530.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
531.png,"['Light Flare', 'Lattice Beacon', 'Can topmark']",
532.png,"['Light Flare', 'Lattice Beacon', 'Can topmark']",
533.png,"['Light Flare', 'Conical Buoy', 'Cone topmark']",
534.png,['Starboard Hand Perch'],
535.png,"['Can Buoy', 'Can topmark', 'Light Flare']",
536.png,"['Islet', 'Dashed Line Circle']",dashed line circle
537.png,"['Islet', 'Dashed Line Circle']",dashed line circle
538.png,"['Can Buoy', 'Red']",
539.png,"['Red', 'Can Buoy']",
540.png,"['Pillar Buoy', 'Black/Red/Black']",
541.png,['Foul Ground'],foul ground
542.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
543.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
544.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
545.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
546.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
547.png,['Mooring Buoy'],
548.png,['Mooring Buoy'],
549.png,['Mooring Buoy'],
550.png,['Mooring Buoy'],
551.png,['Mooring Buoy'],
552.png,['Mooring Buoy'],
553.png,['Mooring Buoy'],
554.png,['Mooring Buoy'],
555.png,['Mooring Buoy'],
556.png,['Mooring Buoy'],
557.png,['Mooring Buoy'],
558.png,['Mooring Buoy'],
559.png,"['Light Flare', 'Red', 'Can topmark', 'Pillar Buoy']",
560.png,"['Light Flare', 'Red', 'Can topmark', 'Pillar Buoy']",
561.png,"['Can Buoy', 'Red', 'Light Flare']",
562.png,"['Light Flare', 'Moored Storage Tanker']",
563.png,"['Light Flare', 'Moored Storage Tanker']",
564.png,"['Light Flare', 'Moored Storage Tanker']",
565.png,"['Light Flare', 'Stranded Wreck']",
566.png,"['Stranded Wreck', 'Light Flare']",
567.png,['Stranded Wreck'],
568.png,['Stranded Wreck'],
569.png,"['Light Flare', 'Cone topmark', 'Lattice Beacon']",
570.png,"['Light Flare', 'Lattice Beacon', 'Can topmark']",
571.png,"['Light Flare', 'Lattice Beacon', 'Cone topmark']",
572.png,['Masts'],
573.png,['Lighted Beacon'],
574.png,['Marine Farm'],marine farm
575.png,['Marine Farm'],marine farm
576.png,['Marine Farm'],marine farm
577.png,['Marine Farm'],marine farm
578.png,['Marine Farm'],marine farm
579.png,['Marine Farm'],marine farm
580.png,['Marine Farm'],marine farm
581.png,['Marine Farm'],marine farm
582.png,['Marine Farm'],marine farm
583.png,['Marine Farm'],marine farm
584.png,['Danger Circle'],danger circle
585.png,['Danger Circle'],danger circle
593.png,['Danger Circle'],danger circle
594.png,['Danger Circle'],danger circle
602.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
603.png,"['Light Flare', 'Stranded Wreck']",
604.png,['Pilot Station'],pilot station
605.png,['Danger Circle'],danger circle
606.png,['Underwater Hazard'],hazard
607.png,['Danger Circle'],danger circle
608.png,['Underwater Hazard'],hazard
609.png,"['Lattice Beacon', 'Cone topmark']",
610.png,"['Radar Reflector', 'Can topmark', 'Lighted Beacon']",
611.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
612.png,"['Light Flare', 'Lattice Beacon']",
613.png,"['Light Flare', 'Lattice Beacon', 'Can topmark']",
614.png,"['Light Flare', 'Lattice Beacon']",
615.png,"['Can topmark', 'Lighted Beacon', 'Light Flare']",
616.png,"['Light Flare', 'Lighted Beacon', 'Cone topmark']",
617.png,['Beacon'],
618.png,"['Beacon', 'Red']",
619.png,"['Beacon', 'Red']",
620.png,"['Green', 'Beacon']",
621.png,['Beacon'],
622.png,"['Pillar Buoy', 'Red']",
623.png,"['Green', 'Conical Buoy']",
624.png,"['Red', 'Pillar Buoy']",
625.png,"['Green', 'Conical Buoy']",
627.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
629.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
630.png,"['Light Flare', 'Yellow', 'Conical Buoy', 'Radar Reflector']",
631.png,"['Conical Buoy', 'Light Flare', 'Yellow', 'Radar Reflector']",
632.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
633.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
634.png,"['Light Flare', 'Lighted Beacon', 'Cone topmark', 'Radar Reflector']",
635.png,"['Light Flare', 'Lighted Beacon', 'Cone topmark']",
636.png,"['Light Flare', 'Lighted Beacon', 'Cone topmark', 'Radar Reflector']",
637.png,"['Lighted Beacon', 'Light Flare', 'Radar Reflector', 'Cone topmark']",
638.png,['Danger Circle'],danger circle
639.png,['Danger Circle'],danger circle
640.png,['Danger Circle'],danger circle
641.png,"['Light Flare', 'Conical Buoy', 'Orange']",
642.png,"['Light Flare', 'Conical Buoy', 'Orange']",
643.png,"['Conical Buoy', 'Light Flare', 'Orange']",
644.png,"['Light Flare', 'Orange', 'Conical Buoy']",
645.png,['Danger Circle'],danger circle
646.png,['Danger Circle'],danger circle
647.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
648.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
650.png,"['Light Flare', 'Red', 'Can topmark', 'Can Buoy']",
651.png,"['Light Flare', 'Green', 'Conical Buoy', 'Cone topmark']",
652.png,"['Light Flare', 'Red', 'Can Buoy', 'Can topmark']",
653.png,['anchor symbol with white circle on top'],
654.png,['Reported Anchorage'],
655.png,['Reported Anchorage'],
656.png,['Reported Anchorage'],
657.png,['Danger Circle'],danger circle
658.png,['Danger Circle'],danger circle
659.png,"['Light Flare', 'Pillar Buoy', 'Black/Red/Black', 'Double ball topmark']",
660.png,"['Light Flare', 'Black/Red/Black', 'Pillar Buoy', 'Double ball topmark']",
661.png,"['Light Flare', 'Yellow', 'Pillar Buoy', '“X” topmark']",
662.png,['Danger Circle'],danger circle
663.png,['Danger Circle'],danger circle
664.png,['Danger Circle'],danger circle
665.png,['Danger Circle'],danger circle
666.png,['Danger Circle'],danger circle
667.png,['Danger Circle'],danger circle
668.png,['Danger Circle'],danger circle
669.png,['Danger Circle'],danger circle
670.png,['Danger Circle'],danger circle
671.png,"['Light Flare', 'Stranded Wreck']",
672.png,"['Light Flare', 'Stranded Wreck']",
673.png,"['Light Flare', 'Stranded Wreck']",
674.png,"['Light Flare', 'Stranded Wreck']",
675.png,['Reported Anchorage'],
676.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
677.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
678.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
679.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
680.png,"['Pillar Buoy', 'Black/Red/Black', 'Light Flare', 'Double ball topmark']",
681.png,"['Pillar Buoy', 'Black/Red/Black', 'Light Flare']",
682.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
683.png,"['Light Flare', 'Black/Red/Black', 'Pillar Buoy', 'Double ball topmark']",
684.png,"['Black/Red/Black', 'Light Flare', 'Pillar Buoy', 'Double ball topmark']",
685.png,"['Green', 'Light Flare', 'Conical Buoy']",
686.png,"['Position Circle', 'Light Flare', 'Red', 'Can Buoy']",position circle
687.png,"['Light Flare', 'Red', 'Can Buoy']",
688.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
689.png,['Reported Anchorage'],
690.png,"['Light Flare', 'Green', 'Pillar Buoy', 'Cone topmark']",
691.png,"['Light Flare', 'Red', 'Pillar Buoy', None]",
692.png,['Reported Anchorage'],
693.png,"['Light Flare', 'Major Light']",
694.png,"['Major Light', 'Light Flare']",
695.png,"['Major Light', 'Light Flare']",
696.png,"['Major Light', 'Light Flare']",
697.png,['Rock'],rock
698.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
699.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
700.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
701.png,"['Lighted Beacon', 'Radar Reflector']",
702.png,['Isolated danger beacon on a paper chart'],
703.png,['Isolated danger beacon on a paper chart'],
704.png,['Stake Pole'],stake pole
705.png,"['Lighted Beacon', 'Cone topmark', 'Radar Reflector']",
706.png,"['Lighted Beacon', 'Cone topmark', 'Radar Reflector']",
707.png,"['Light Flare', 'Lattice Beacon']",
708.png,"['Lattice Beacon', 'Light Flare']",
709.png,"['Light Flare', 'Beacon Tower']",
710.png,"['Light Flare', 'Beacon Tower']",
711.png,"['Light Flare', 'Beacon Tower']",
712.png,"['Light Flare', 'Lattice Beacon']",
713.png,"['Red', 'Can topmark', 'Lighted Beacon']",
714.png,"['Light Flare', 'Lattice Beacon']",
715.png,"['Lighted Beacon', 'Cone topmark']",
716.png,"['Lighted Beacon', 'Can topmark']",
717.png,"['Conical Buoy', '“X” topmark']",
718.png,['Lighted Beacon'],
719.png,"['Lighted Beacon', 'Can topmark']",
720.png,"['Lighted Beacon', 'Cone topmark']",
721.png,"['Lighted Beacon', 'Cone topmark']",
722.png,"['Lighted Beacon', 'Can topmark']",
723.png,['Mooring Superbuoy'],
726.png,['Danger Circle'],danger circle
727.png,['Danger Circle'],danger circle
728.png,['Danger Circle'],danger circle
729.png,['Danger Circle'],danger circle
730.png,['Danger Circle'],danger circle
731.png,['Danger Circle'],danger circle
732.png,"['Danger Circle', 'Danger Circle']",danger circle
734.png,['Danger Circle'],danger circle
735.png,['Danger Circle'],danger circle
736.png,['Danger Circle'],danger circle
737.png,['Danger Circle'],danger circle
738.png,['Danger Circle'],danger circle
739.png,['Danger Circle'],danger circle
740.png,"['Underwater Hazard', 'Danger Circle']",danger circle
741.png,['Mooring Buoy'],
742.png,['Danger Circle'],danger circle
743.png,['Danger Circle'],danger circle
744.png,['Danger Circle'],danger circle
745.png,['Danger Circle'],danger circle
746.png,['Danger Circle'],danger circle
747.png,['Danger Circle'],danger circle
748.png,['Danger Circle'],danger circle
749.png,['Danger Circle'],danger circle
750.png,['Spherical Buoy with black-white pattern'],
751.png,['Danger Circle'],danger circle
754.png,['Danger Circle'],danger circle
755.png,['Danger Circle'],danger circle
756.png,['Danger Circle'],danger circle
757.png,['Danger Circle'],danger circle
758.png,"['Danger Circle', 'White']",danger circle
759.png,['Danger Circle'],danger circle
761.png,['Danger Circle'],danger circle
762.png,['Danger Circle'],danger circle
763.png,['Danger Circle'],danger circle
764.png,"['Danger Circle', 'White']",danger circle
765.png,['Danger Circle'],danger circle
766.png,['Danger Circle'],danger circle
767.png,['Danger Circle'],danger circle
768.png,['Mooring Buoy'],
769.png,['Danger Circle'],danger circle
770.png,['Danger Circle'],danger circle
771.png,['Danger Circle'],danger circle
772.png,['Danger Circle'],danger circle
773.png,['Danger Circle'],danger circle
774.png,['Danger Circle'],danger circle
775.png,['Danger Circle'],danger circle
776.png,['Danger Circle'],danger circle
777.png,['Mooring Buoy'],
778.png,['Danger Circle'],danger circle
779.png,['Danger Circle'],danger circle
780.png,['Danger Circle'],danger circle
781.png,['Danger Circle'],danger circle
782.png,['Danger Circle'],danger circle
783.png,['Underwater Hazard'],hazard
784.png,"['Light Flare', 'Pillar Buoy', 'Cone topmark', 'Green']",
785.png,"['Pillar Buoy', 'Green', 'Light Flare', 'Cone topmark']",
786.png,"['Superbuoy', 'Green', 'Pillar Buoy', 'Cone topmark']",
787.png,"['Light Flare', 'Green', 'Pillar Buoy', 'Cone topmark']",
788.png,['Foul Ground'],foul ground
789.png,['Foul Ground'],foul ground
790.png,['Foul Ground'],foul ground
791.png,['Foul Ground'],foul ground
792.png,['Foul Ground'],foul ground
793.png,['Foul Ground'],foul ground
794.png,['Foul Ground'],foul ground
795.png,['Stranded Wreck'],
796.png,['Stranded Wreck'],
797.png,['Stranded Wreck'],
798.png,['Stranded Wreck'],
799.png,['Stranded Wreck'],
800.png,"['Major Light', 'Light Flare']",
801.png,"['Major Light', 'Light Flare']",
802.png,"['Lighted Beacon', 'Cone topmark']",
803.png,"['Lighted Beacon', 'Can topmark']",
804.png,['Lighted Beacon'],
805.png,"['Lighted Beacon', 'Can topmark']",
806.png,"['Lighted Beacon', 'Cone topmark']",
807.png,['Lighted Beacon'],
808.png,['Lighted Beacon'],
809.png,['Lattice Beacon'],
810.png,"['Lattice Beacon', 'Cone topmark']",
811.png,"['Lattice Beacon', 'Can topmark']",
812.png,['Stranded Wreck'],
813.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
814.png,['Masts'],
815.png,"['Submarine Cable', 'Power']",
816.png,"['Submarine Cable', 'Power']",
817.png,"['Submarine Cable', 'Power']",
818.png,"['Submarine Cable', 'Power']",
819.png,"['Light Flare', '“X” topmark', 'Pillar Buoy', 'Yellow']",
820.png,['Prohibited Area Boundary'],
821.png,['Prohibited Area Boundary'],
822.png,"['Power', 'Submarine Cable']",
823.png,"['Yellow', 'Pillar Buoy', '“X” topmark', 'Light Flare']",
824.png,['Prohibited Area Boundary'],
825.png,['Prohibited Area Boundary'],
826.png,"['Light Flare', 'Beacon Tower']",
827.png,"['Light Flare', 'Beacon Tower']",
828.png,"['Light Flare', 'Beacon Tower']",
829.png,"['Can Buoy', 'Can topmark', 'Red']",
830.png,"['Double ball topmark', 'Pillar Buoy', 'Black/Red']",
831.png,"['Black/Red', 'Double ball topmark', 'Pillar Buoy']",
832.png,"[None, 'Black/Red']",
833.png,"['Double ball topmark', 'Pillar Buoy', 'Black/Red']",
834.png,"['Pillar Buoy', 'Double cone topmark points downwards', 'Yellow/Black']",
835.png,"['Yellow/Black/Yellow', 'Double cone topmark points together', 'Pillar Buoy']",
836.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
837.png,"['Light Flare', 'Lattice Beacon']",
838.png,['Reported Anchorage'],
839.png,['Reported Anchorage'],
840.png,['Reported Anchorage'],
841.png,['Reported Anchorage'],
842.png,['Reported Anchorage'],
843.png,['Reported Anchorage'],
844.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
845.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
846.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
847.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
848.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
849.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
850.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
851.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
852.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
853.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
854.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
855.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
856.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
857.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
858.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
859.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
860.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
861.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
862.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
863.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
864.png,['Position of point feature'],position of point feature
865.png,['Position of point feature'],position of point feature
866.png,['Position of point feature'],position of point feature
867.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
868.png,"['Yellow', '“X” topmark', 'Conical Buoy', 'Radar Reflector']",
869.png,"['Yellow', '“X” topmark', 'Radar Reflector']",
870.png,['Lighted Beacon'],
871.png,"['Yellow', 'Spherical Buoy', '“X” topmark']",
872.png,"['Yellow', '“X” topmark', 'Spherical Buoy']",
873.png,['Danger Circle'],danger circle
874.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
875.png,['Danger Circle'],danger circle
876.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
877.png,"['Can Buoy', 'Green', 'Can topmark']",
878.png,['Danger Circle'],danger circle
879.png,"['Red', 'Can Buoy', 'Can topmark']",
880.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
881.png,"['Black/Yellow', 'Can Buoy', 'Can topmark']",
882.png,['Danger Circle'],danger circle
883.png,"['Can Buoy', 'Can topmark', 'Red']",
884.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
885.png,['Stranded Wreck'],
886.png,['Stranded Wreck'],
887.png,['Danger Circle'],danger circle
888.png,['Danger Circle'],danger circle
889.png,['Danger Circle'],danger circle
890.png,['Stranded Wreck'],
891.png,"['Green', 'Conical Buoy', 'Cone topmark']",
892.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
893.png,"['Green', 'Conical Buoy', 'Cone topmark']",
894.png,"['Light Flare', 'Red', 'Can topmark', 'Conical Buoy']",
895.png,"['Black/Yellow', 'Conical Buoy', 'Cone topmark']",
896.png,"['Light Flare', 'Conical Buoy', 'Can topmark']",
897.png,"['Green', 'Cone topmark', 'Conical Buoy']",
898.png,"['Red', 'Light Flare', 'Conical Buoy', 'Can topmark']",
899.png,"['Conical Buoy', 'Green', 'Cone topmark']",
900.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
901.png,"['Green', 'Conical Buoy', 'Cone topmark']",
902.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
903.png,"['Green', 'Conical Buoy', 'Cone topmark']",
904.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
905.png,"['Green', 'Conical Buoy', 'Cone topmark']",
906.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
907.png,"['Cone topmark', 'Conical Buoy', 'Green']",
908.png,"['Conical Buoy', 'Light Flare', 'Red', 'Can topmark']",
909.png,"['Cone topmark', 'Green', 'Conical Buoy']",
910.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
911.png,"['Cone topmark', 'Green', 'Conical Buoy']",
912.png,"['Red', 'Light Flare', 'Can topmark', 'Conical Buoy']",
913.png,"['Conical Buoy', 'Cone topmark', 'Green']",
914.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
915.png,"['Green', 'Conical Buoy', 'Cone topmark']",
916.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
917.png,"['Red', 'Conical Buoy', 'Cone topmark']",
918.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
919.png,"['Green', 'Conical Buoy', 'Cone topmark']",
920.png,"['Conical Buoy', 'Light Flare', 'Red', 'Can topmark']",
921.png,"['Cone topmark', 'Green', 'Conical Buoy']",
922.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
923.png,"['Conical Buoy', 'Cone topmark', 'Green']",
924.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
925.png,"['Green', 'Conical Buoy', 'Cone topmark']",
926.png,"['Red', 'Light Flare', 'Conical Buoy', 'Can topmark']",
927.png,"['Green', 'Conical Buoy', 'Cone topmark']",
928.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
929.png,"['Green', 'Conical Buoy', 'Cone topmark']",
930.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
931.png,"['Green', 'Conical Buoy', 'Cone topmark']",
932.png,"['Red', 'Light Flare', 'Conical Buoy', 'Can topmark']",
933.png,"['Red', 'Conical Buoy', 'Cone topmark']",
934.png,"['Conical Buoy', 'Light Flare', 'Red', 'Can topmark']",
935.png,"['Cone topmark', 'Green', 'Conical Buoy']",
936.png,"['Light Flare', 'Red', 'Conical Buoy', 'Can topmark']",
937.png,"['Green', 'Conical Buoy', 'Cone topmark']",
938.png,"['Red', 'Light Flare', 'Conical Buoy', 'Can topmark']",
939.png,"['Cone topmark', 'Conical Buoy', 'Green']",
940.png,"['Light Flare', 'Red', 'Can topmark', 'Conical Buoy']",
941.png,"['Green', 'Conical Buoy', 'Cone topmark']",
942.png,"['Conical Buoy', 'Light Flare', 'Red', 'Can topmark']",
943.png,"['Green', 'Conical Buoy', 'Cone topmark']",
944.png,"['Red', 'Light Flare', 'Conical Buoy', 'Can topmark']",
945.png,"['Green', 'Cone topmark', 'Conical Buoy']",
946.png,"['Red', 'Light Flare', 'Can topmark', 'Conical Buoy']",
947.png,"['Light Flare', 'Light Float']",
948.png,['Spherical Buoy'],
949.png,['Spherical Buoy'],
950.png,['Spherical Buoy'],
951.png,['Barrel Buoy'],
952.png,"['Lighted Beacon', 'Cone topmark', 'Green']",
953.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
954.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
955.png,"['Conical Buoy', 'Cone topmark', 'Green']",
956.png,"['Conical Buoy', 'Cone topmark', 'Green']",
957.png,"['Cone topmark', 'Conical Buoy', 'Green']",
958.png,['Underwater Hazard'],hazard
959.png,['Danger Circle'],danger circle
960.png,['Underwater Hazard'],hazard
961.png,"['Can Buoy', 'Red']",
962.png,"['Can Buoy', 'Red']",
963.png,['Underwater Hazard'],hazard
964.png,['Underwater Hazard'],hazard
965.png,['Danger Circle'],danger circle
966.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
967.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
968.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
969.png,['Danger Circle'],danger circle
970.png,['Danger Circle'],danger circle
971.png,['Underwater Hazard'],hazard
972.png,"['Light Flare', 'Red/White', 'Pillar Buoy', 'Ball topmark']",
973.png,"['Light Flare', 'Moored Storage Tanker']",
974.png,['Lighted Beacon'],
975.png,['Foul Ground'],foul ground
976.png,"['Lattice Beacon', 'Light Flare']",
977.png,"['Light Flare', 'Lattice Beacon']",
978.png,"['Light Flare', 'Lattice Beacon']",
979.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
980.png,"['Light Flare', 'Major Light', 'Position Circle']",position circle
981.png,"['Light Flare', 'Position Circle', 'Major Light']",position circle
982.png,"['Position Circle', 'Light Flare', 'Major Light']",position circle
983.png,"['Major Light', 'Light Flare', 'Position Circle']",position circle
984.png,"['Light Flare', 'Position Circle', 'Major Light']",position circle
985.png,"['Light Flare', 'Position Circle', 'Major Light']",position circle
986.png,"['Light Flare', 'Position Circle', 'Major Light']",position circle
987.png,"['Light Flare', 'Position Circle', 'Major Light']",position circle
988.png,"['Light Flare', 'Position Circle', 'Major Light']",position circle
989.png,"['Light Flare', 'Position Circle', 'Major Light']",position circle
990.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
991.png,['Danger Circle'],danger circle
992.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
993.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
994.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
995.png,['Danger Circle'],danger circle
996.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
997.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
998.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
999.png,['Danger Circle'],danger circle
1000.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
1001.png,['Danger Circle'],danger circle
1002.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
1003.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
1004.png,['Danger Circle'],danger circle
1005.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
1006.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
1007.png,"['Light Flare', 'Red', 'Can Buoy']",
1008.png,"['Light Flare', 'Red', 'Can Buoy']",
1009.png,['Stranded Wreck'],
1010.png,['Stranded Wreck'],
1011.png,['Stranded Wreck'],
1012.png,['Stranded Wreck'],
1013.png,['Stranded Wreck'],
1014.png,['Stranded Wreck'],
1015.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
1016.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
1017.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
1018.png,['Platform'],platform
1019.png,['Underwater Hazard'],hazard
1020.png,['Danger Circle'],danger circle
1021.png,['Platform'],platform
1022.png,['Platform'],platform
1023.png,['Platform'],platform
1024.png,['Platform'],platform
1025.png,['Platform'],platform
1026.png,['Danger Circle'],danger circle
1027.png,['Mooring Buoy'],
1028.png,['Position of Point Feature'],position of point feature
1029.png,"['Light Flare', 'Lattice Beacon']",
1030.png,"['Light Flare', 'Lattice Beacon']",
1031.png,"['Light Flare', 'Lattice Beacon']",
1032.png,"['Light Flare', 'Lattice Beacon']",
1033.png,"['Light Flare', 'Lattice Beacon']",
1034.png,"['Light Flare', 'Lattice Beacon']",
1035.png,"['Danger Circle', 'degrees']",danger circle
1036.png,['Danger Circle'],danger circle
1037.png,"['Underwater Hazard', 'degrees']",hazard
1038.png,"['Danger Circle', 'degrees']",danger circle
1039.png,"['Danger Circle', 'degrees']",danger circle
1040.png,['Danger Circle'],danger circle
1041.png,['Danger Circle'],danger circle
1042.png,['Danger Circle'],danger circle
1043.png,['Danger Circle'],danger circle
1044.png,['Danger Circle'],danger circle
1045.png,['Danger Circle'],danger circle
1046.png,"['Danger Circle', 'degrees']",danger circle
1047.png,"['Danger Circle', 'degrees']",danger circle
1048.png,"['Danger Circle', 'degrees']",danger circle
1049.png,"['degrees', 'Danger Circle']",danger circle
1050.png,['Danger Circle'],danger circle
1051.png,['Danger Circle'],danger circle
1052.png,"['degrees', 'Danger Circle']",danger circle
1053.png,"['Danger Circle', 'degrees']",danger circle
1054.png,['Danger Circle'],danger circle
1055.png,['Danger Circle'],danger circle
